geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
GATA3	31.1664289939735	40.4414361354093	27.5832273890743	37.5447593623856	26.9339048179463	40.1961716744637	66.0016544530673	61.1168943599084	41.3730596482786
VIM	66.6511577117917	44.4942518977476	53.7205943928412	50.9229699761231	69.7708113425582	63.7016198935816	39.7578162192418	44.6910568233185	54.2137847821505
ZEB1	69.8913698732683	65.4889965257088	59.5965410194894	58.8980360260315	74.3479708088372	52.3758852669454	55.3988964924456	56.2461361155438	61.5304790160337
ITGB1	69.2095360681572	48.259344510982	63.3943752968159	63.6485838083043	72.2238505871593	56.6383168335889	59.7845986039313	54.2104974920854	60.921137900128
RASSF4	58.5048343208516	51.6615192428262	26.2490045919598	52.6114627131489	55.2591931068931	45.8381269868063	49.7186971476799	45.8141839746461	48.2071277606015
EGR2	58.9860867523322	68.0479700436887	51.1592589976924	49.010360432877	56.7431912302486	43.6480871040931	51.1823820851683	54.330471308621	54.1384759943402
SYNPO2L	74.8611032207462	77.5675296059313	75.5961332560002	75.9697416327474	81.7894183428142	79.2217172992297	73.1960986608433	65.5256559399278	75.4659247447801
MAT1A	39.9720647487647	57.657007068607	36.0537604727704	56.3057120636121	35.4743001177202	48.8776968220968	63.0464321246321	47.2972078192078	48.0855226546764
PAPSS2	72.3640657776434	72.8949040275514	71.0982825279984	53.8646970069405	73.4144848598769	55.9746846114412	59.5832283637415	63.9658218820653	65.3950211321573
ACSL5	48.8849234069502	45.1080664638933	52.3801076619809	70.3273324104467	46.1224932139289	51.4008602433281	48.3865016983017	53.9382376409305	52.06856534247
FGFR2	40.108193080301	37.8285534847886	36.0797032304387	56.7546037279267	33.0497345122503	43.3823195351411	48.3206312422829	54.4628096067961	43.7483185524907
MTG1	59.7158322677323	53.3468596403596	63.8886431568432	68.0448414585415	60.8415876123876	63.7331240759241	70.7187627372627	64.8428230769231	63.1415592532468
IRF7	63.5052610492178	71.9227197039849	71.8170328999772	77.4235701254479	73.7151609572197	72.5468073099761	76.3408276436591	68.1935226717729	71.933112795157
LSP1	55.4348324675324	61.0348158641359	68.2228650549451	74.4157186813187	60.6163740659341	62.4821729270729	76.1741255544456	69.6217357642358	66.0003300474526
CDKN1C	57.5642512967033	58.0472644395605	65.3314841638362	72.7792162850483	61.0224372614052	65.9062342044622	73.7046686486847	68.8280641731602	65.3979525591075
GYLTL1B	58.2385432435333	62.8841478042618	58.4919249560357	64.0252674581616	62.1276707515625	65.9870985056266	70.0113696460564	65.9620082050182	63.466003821282
ACP2	75.5246338661339	78.5896681318681	75.8211622377622	80.8310033966034	82.4161867132867	77.5721618381618	75.682140959041	68.0045832167832	76.805192544955
NR1H3	75.3292795529772	78.3948995564676	75.5873430491195	80.5665383670546	82.1793962820312	77.3490855776753	75.4798069454642	67.8817522459468	76.596012697092
MS4A1	44.8915589574063	73.5266739433294	45.7119973939696	55.970366640178	45.5000991276905	66.364555865044	52.1056504826991	54.1086696744165	54.7724465105917
CCDC86	46.2585453469608	74.4420671405518	46.1870455390763	57.9028351648351	47.3559179128564	66.8855960885268	55.1736602090217	56.9649750710827	56.3963303091139
DDB1	64.0862091786077	73.842193209081	66.5517426565801	74.6922529112109	68.0792598050805	74.1629984511672	71.9125205512045	67.5154312473786	70.1053260012888
